attendance,assignment_score,internal_marks,Extracurricular Activities,final_marks
99,15,19.0,No,43.0
75,18,27.0,No,58.0
75,14,21.0,Yes,55.0
63,10,14.0,Yes,51.0
85,15,24.0,No,47.0
87,10,13.0,Yes,54.0
91,15,25.0,No,42.0
61,20,30.0,No,36.0
90,12,16.0,No,45.0
62,12,19.0,No,60.0
67,14,21.0,Yes,47.0
83,16,26.0,Yes,40.0
74,12,19.0,No,37.0
90,14,22.0,Yes,30.0
68,13,20.0,Yes,37.0
98,14,23.0,No,48.0
61,16,26.0,No,43.0
67,17,26.0,Yes,47.0
66,11,18.0,Yes,36.0
98,16,26.0,No,55.0
75,20,30.0,No,53.0
94,20,30.0,Yes,39.0
89,13,22.0,No,31.0
69,15,22.0,No,48.0
97,15,20.0,No,25.0
77,16,25.0,Yes,32.0
64,14,22.0,Yes,41.0
88,14,20.0,No,36.0
98,13,17.0,Yes,58.0
93,18,30.0,No,42.0
82,16,25.0,Yes,50.0
64,16,22.0,Yes,23.0
89,19,28.0,Yes,27.0
65,19,26.0,No,38.0
63,18,28.0,No,47.0
88,19,30.0,No,32.0
82,20,30.0,Yes,49.0
65,12,18.0,No,58.0
91,14,20.0,No,37.0
77,17,25.0,No,45.0
74,12,16.0,No,42.0
99,14,24.0,Yes,41.0
91,16,24.0,No,48.0
68,14,21.0,No,45.0
96,15,22.0,Yes,43.0
69,12,15.0,No,46.0
79,15,24.0,Yes,54.0
65,15,25.0,Yes,51.0
62,20,26.0,Yes,27.0
70,14,22.0,No,36.0
76,13,21.0,Yes,51.0
91,17,28.0,Yes,70.0
63,5,10.0,Yes,38.0
63,14,26.0,No,30.0
76,13,20.0,Yes,68.0
100,16,26.0,Yes,58.0
78,19,29.0,Yes,57.0
64,20,28.0,No,46.0
91,16,25.0,Yes,44.0
81,10,17.0,Yes,44.0
65,13,20.0,No,53.0
94,14,18.0,No,58.0
81,16,21.0,No,47.0
60,15,24.0,Yes,53.0
79,13,19.0,Yes,59.0
81,11,17.0,Yes,54.0
70,12,19.0,Yes,51.0
72,12,18.0,No,38.0
62,20,29.0,Yes,38.0
68,13,19.0,No,28.0
71,15,24.0,Yes,49.0
82,18,28.0,Yes,46.0
73,16,22.0,Yes,58.0
92,12,18.0,No,50.0
77,18,25.0,No,42.0
100,16,25.0,No,40.0
68,8,11.0,No,48.0
82,19,30.0,Yes,48.0
69,18,27.0,Yes,63.0
78,16,26.0,Yes,44.0
64,20,30.0,Yes,50.0
82,18,28.0,Yes,61.0
89,18,26.0,No,44.0
84,18,25.0,No,42.0
87,17,27.0,Yes,32.0
93,10,15.0,Yes,41.0
84,10,15.0,Yes,49.0
69,18,26.0,Yes,59.0
73,19,26.0,No,31.0
89,13,22.0,Yes,36.0
100,12,18.0,Yes,26.0
84,16,20.0,Yes,63.0
73,11,16.0,Yes,47.0
94,14,18.0,No,41.0
93,14,22.0,Yes,27.0
69,14,22.0,No,45.0
94,20,30.0,No,41.0
70,13,17.0,Yes,27.0
70,15,25.0,Yes,42.0
80,11,18.0,Yes,57.0
80,18,24.0,Yes,42.0
81,14,25.0,Yes,57.0
66,19,28.0,No,61.0
76,8,10.0,No,42.0
61,15,25.0,No,44.0
71,15,20.0,No,50.0
77,18,29.0,No,55.0
70,13,19.0,Yes,59.0
75,17,25.0,Yes,60.0
77,13,17.0,No,38.0
94,15,20.0,Yes,60.0
85,18,27.0,Yes,50.0
75,12,15.0,No,40.0
65,17,27.0,No,34.0
71,16,23.0,No,37.0
72,14,20.0,Yes,49.0
63,13,21.0,No,40.0
98,9,13.0,No,49.0
61,15,25.0,Yes,34.0
85,14,17.0,Yes,37.0
86,17,27.0,No,44.0
86,17,26.0,Yes,43.0
74,18,26.0,No,32.0
67,18,29.0,Yes,39.0
66,20,30.0,No,28.0
99,17,26.0,Yes,46.0
71,12,17.0,Yes,60.0
72,17,24.0,Yes,37.0
76,20,28.0,No,35.0
76,16,27.0,No,55.0
95,9,15.0,No,33.0
80,17,27.0,Yes,55.0
67,13,19.0,Yes,33.0
64,11,21.0,Yes,41.0
85,16,23.0,No,43.0
75,10,14.0,Yes,52.0
95,18,30.0,No,64.0
87,17,25.0,No,42.0
88,15,26.0,No,45.0
71,13,20.0,No,28.0
96,14,20.0,No,45.0
89,12,18.0,Yes,57.0
82,15,21.0,Yes,69.0
75,6,10.0,Yes,41.0
73,15,25.0,Yes,52.0
69,15,23.0,Yes,57.0
66,18,28.0,Yes,31.0
96,16,22.0,No,59.0
88,18,29.0,Yes,37.0
62,17,27.0,No,48.0
74,18,28.0,No,32.0
95,20,29.0,No,41.0
78,16,24.0,No,28.0
72,16,22.0,No,48.0
80,19,26.0,Yes,60.0
96,14,20.0,Yes,45.0
86,15,21.0,Yes,31.0
88,16,23.0,No,42.0
79,15,22.0,Yes,47.0
84,15,22.0,Yes,44.0
65,18,27.0,No,52.0
61,20,30.0,Yes,44.0
81,16,24.0,No,44.0
91,14,23.0,No,38.0
75,20,30.0,No,55.0
77,15,25.0,Yes,64.0
64,15,22.0,No,43.0
95,14,22.0,No,48.0
89,19,27.0,No,47.0
78,15,25.0,No,37.0
82,13,22.0,No,52.0
93,18,30.0,Yes,45.0
72,19,27.0,Yes,47.0
88,20,30.0,No,55.0
95,17,23.0,No,42.0
81,18,23.0,Yes,46.0
95,14,22.0,Yes,38.0
68,18,27.0,No,34.0
98,17,23.0,No,46.0
78,17,26.0,Yes,47.0
97,10,17.0,No,54.0
65,14,21.0,No,37.0
74,15,25.0,Yes,35.0
79,17,24.0,Yes,63.0
68,20,30.0,Yes,46.0
91,18,26.0,Yes,31.0
63,13,22.0,No,44.0
77,14,18.0,No,38.0
64,19,29.0,No,49.0
79,13,20.0,No,41.0
82,18,28.0,Yes,57.0
70,15,22.0,Yes,32.0
96,15,23.0,No,58.0
81,13,19.0,No,52.0
88,17,28.0,Yes,55.0
93,12,18.0,Yes,57.0
72,11,13.0,Yes,45.0
68,16,23.0,No,61.0
90,18,30.0,No,51.0
66,10,13.0,No,40.0
63,18,28.0,Yes,32.0
78,12,17.0,No,56.0
89,17,23.0,Yes,45.0
90,17,26.0,No,27.0
94,14,20.0,No,48.0
80,15,26.0,Yes,42.0
90,14,23.0,Yes,38.0
78,16,27.0,No,55.0
90,16,26.0,Yes,37.0
91,12,19.0,Yes,40.0
61,11,14.0,Yes,43.0
69,18,27.0,Yes,55.0
61,16,25.0,Yes,33.0
61,18,26.0,No,39.0
83,13,19.0,No,49.0
76,13,21.0,No,50.0
91,12,20.0,No,34.0
75,14,19.0,Yes,41.0
75,16,25.0,No,44.0
98,13,21.0,Yes,48.0
90,20,28.0,No,43.0
83,13,19.0,No,60.0
60,16,24.0,Yes,44.0
70,12,21.0,No,60.0
80,13,19.0,No,40.0
63,15,23.0,No,29.0
66,13,22.0,No,70.0
85,15,26.0,No,44.0
71,16,24.0,No,49.0
90,18,23.0,No,30.0
76,12,20.0,Yes,48.0
92,16,24.0,No,53.0
70,15,21.0,No,34.0
87,9,15.0,No,44.0
91,12,22.0,No,44.0
60,16,24.0,No,32.0
87,11,13.0,No,61.0
61,9,14.0,No,24.0
83,15,24.0,No,46.0
63,9,14.0,Yes,35.0
78,13,20.0,Yes,52.0
85,14,22.0,No,42.0
70,15,24.0,No,49.0
99,14,21.0,No,31.0
70,11,15.0,Yes,41.0
62,11,17.0,Yes,41.0
71,10,17.0,No,68.0
62,16,22.0,No,40.0
86,15,20.0,Yes,22.0
61,17,28.0,Yes,56.0
75,13,23.0,Yes,43.0
61,10,15.0,Yes,48.0
89,14,22.0,No,42.0
79,15,23.0,Yes,32.0
97,12,14.0,Yes,58.0
87,12,18.0,No,35.0
84,16,27.0,Yes,30.0
91,15,20.0,No,50.0
69,18,24.0,Yes,47.0
99,20,29.0,No,56.0
92,10,14.0,Yes,48.0
72,14,22.0,No,44.0
100,15,25.0,No,54.0
96,16,27.0,Yes,29.0
75,18,28.0,No,43.0
81,17,22.0,No,36.0
79,18,24.0,Yes,48.0
86,15,24.0,No,53.0
100,13,16.0,No,48.0
75,20,30.0,Yes,52.0
93,15,23.0,Yes,57.0
91,14,20.0,No,50.0
85,12,13.0,No,52.0
84,15,23.0,No,64.0
61,18,28.0,No,70.0
71,13,18.0,No,43.0
99,15,20.0,Yes,36.0
71,16,21.0,Yes,64.0
85,14,22.0,Yes,39.0
68,14,23.0,Yes,50.0
69,13,16.0,Yes,52.0
91,12,17.0,No,53.0
93,13,19.0,No,42.0
79,13,19.0,No,53.0
98,10,13.0,Yes,50.0
61,18,24.0,Yes,38.0
60,16,23.0,No,61.0
95,15,24.0,Yes,52.0
83,19,30.0,No,32.0
86,17,27.0,Yes,41.0
61,13,22.0,Yes,41.0
90,19,26.0,Yes,39.0
73,18,26.0,Yes,51.0
61,12,18.0,Yes,58.0
88,18,21.0,Yes,34.0
74,14,21.0,Yes,41.0
71,18,27.0,No,56.0
96,14,19.0,No,37.0
87,13,21.0,Yes,38.0
79,14,23.0,Yes,22.0
98,12,19.0,No,53.0
83,11,13.0,Yes,47.0
80,8,10.0,No,42.0
69,12,19.0,No,29.0
73,20,29.0,No,42.0
96,16,24.0,No,26.0
77,20,28.0,No,43.0
83,14,21.0,Yes,64.0
73,14,24.0,Yes,47.0
93,20,30.0,No,57.0
71,16,26.0,Yes,58.0
81,12,20.0,No,40.0
65,17,25.0,Yes,51.0
95,11,19.0,Yes,48.0
81,16,25.0,Yes,56.0
73,11,18.0,Yes,50.0
75,19,29.0,Yes,41.0
95,16,23.0,Yes,58.0
84,17,25.0,Yes,56.0
91,14,24.0,No,45.0
92,10,15.0,No,60.0
95,14,23.0,Yes,50.0
79,18,30.0,Yes,29.0
77,20,30.0,Yes,48.0
97,16,26.0,No,38.0
62,13,23.0,Yes,50.0
91,18,26.0,No,61.0
75,15,20.0,No,56.0
64,15,20.0,No,61.0
63,16,24.0,Yes,45.0
80,15,23.0,No,57.0
99,16,25.0,Yes,47.0
73,20,29.0,No,35.0
98,9,13.0,Yes,37.0
90,14,23.0,Yes,42.0
73,12,15.0,Yes,58.0
65,19,29.0,No,57.0
71,15,25.0,Yes,39.0
75,17,25.0,Yes,52.0
76,19,28.0,Yes,45.0
82,12,20.0,No,36.0
73,13,17.0,Yes,33.0
66,19,27.0,Yes,43.0
91,12,16.0,Yes,54.0
74,14,22.0,Yes,40.0
76,10,12.0,No,53.0
100,19,30.0,Yes,48.0
93,13,19.0,No,29.0
64,16,26.0,No,65.0
86,17,28.0,Yes,57.0
82,13,18.0,No,31.0
99,9,14.0,No,49.0
73,14,21.0,No,60.0
74,14,21.0,Yes,49.0
92,15,21.0,No,41.0
90,15,25.0,No,44.0
94,14,21.0,Yes,42.0
76,13,19.0,Yes,44.0
87,16,26.0,No,56.0
78,13,21.0,No,50.0
82,15,23.0,No,36.0
91,13,19.0,Yes,42.0
99,16,27.0,No,41.0
72,18,25.0,Yes,48.0
79,18,29.0,No,34.0
94,19,30.0,No,30.0
64,14,18.0,Yes,36.0
68,14,21.0,No,29.0
88,11,14.0,Yes,30.0
65,14,20.0,No,57.0
84,14,22.0,Yes,44.0
90,13,17.0,Yes,49.0
81,13,15.0,No,46.0
61,10,15.0,Yes,46.0
64,11,17.0,No,48.0
86,15,22.0,Yes,51.0
84,15,22.0,Yes,49.0
67,16,24.0,Yes,70.0
60,14,19.0,No,35.0
79,15,26.0,Yes,34.0
82,19,29.0,Yes,40.0
91,15,22.0,Yes,32.0
70,13,18.0,No,42.0
98,11,16.0,No,35.0
83,17,25.0,Yes,46.0
70,10,15.0,Yes,46.0
88,12,20.0,No,32.0
85,16,22.0,Yes,53.0
75,9,14.0,Yes,37.0
94,13,21.0,Yes,36.0
79,15,21.0,Yes,49.0
62,14,20.0,Yes,45.0
60,12,15.0,Yes,45.0
60,13,23.0,No,35.0
76,17,27.0,Yes,34.0
61,20,29.0,Yes,53.0
88,15,21.0,No,44.0
79,9,11.0,No,47.0
65,17,26.0,No,47.0
67,14,20.0,No,52.0
88,12,16.0,Yes,44.0
92,13,18.0,No,43.0
62,13,21.0,Yes,52.0
94,11,16.0,No,67.0
64,15,20.0,No,33.0
86,20,30.0,No,40.0
71,12,17.0,Yes,48.0
79,20,30.0,No,23.0
79,16,27.0,No,56.0
68,15,19.0,No,53.0
98,14,20.0,Yes,45.0
63,13,20.0,Yes,50.0
78,16,24.0,No,60.0
97,17,28.0,Yes,48.0
86,8,12.0,No,32.0
72,20,30.0,Yes,55.0
72,10,16.0,No,54.0
81,13,18.0,Yes,47.0
87,7,12.0,No,70.0
81,14,22.0,Yes,44.0
78,14,21.0,Yes,27.0
67,13,16.0,No,48.0
67,16,22.0,No,46.0
85,14,21.0,Yes,67.0
85,17,25.0,No,49.0
82,11,18.0,No,43.0
72,15,24.0,No,32.0
87,13,20.0,No,63.0
68,14,23.0,Yes,22.0
79,16,25.0,No,50.0
78,13,18.0,Yes,25.0
98,15,22.0,Yes,42.0
71,12,16.0,No,41.0
74,18,30.0,No,38.0
90,17,23.0,Yes,41.0
73,15,18.0,No,46.0
70,14,25.0,No,40.0
85,15,22.0,Yes,44.0
86,18,29.0,Yes,38.0
70,17,27.0,Yes,43.0
97,18,29.0,No,55.0
93,14,22.0,No,40.0
78,16,25.0,Yes,61.0
65,19,24.0,Yes,55.0
97,12,16.0,No,53.0
87,12,13.0,No,45.0
60,16,22.0,No,35.0
94,11,15.0,Yes,46.0
99,10,15.0,No,63.0
67,19,27.0,No,37.0
66,19,28.0,Yes,48.0
70,11,15.0,No,36.0
98,11,17.0,Yes,41.0
63,13,21.0,No,48.0
84,19,29.0,Yes,49.0
71,14,22.0,Yes,46.0
85,15,23.0,Yes,51.0
97,16,26.0,No,50.0
71,16,28.0,No,42.0
96,19,24.0,No,52.0
83,13,22.0,No,35.0
75,15,20.0,Yes,42.0
72,16,24.0,No,40.0
84,15,23.0,No,49.0
63,11,18.0,Yes,21.0
70,11,16.0,Yes,41.0
91,11,16.0,Yes,50.0
66,17,26.0,Yes,70.0
70,13,19.0,No,45.0
87,16,20.0,Yes,34.0
100,15,22.0,No,52.0
82,12,17.0,No,38.0
82,12,16.0,Yes,31.0
87,15,21.0,Yes,47.0
85,15,19.0,Yes,58.0
84,16,23.0,Yes,37.0
88,14,21.0,Yes,43.0
78,12,20.0,No,52.0
92,15,21.0,Yes,55.0
95,19,30.0,No,59.0
73,9,15.0,Yes,38.0
73,13,17.0,No,44.0
94,17,25.0,No,23.0
89,16,28.0,No,41.0
87,17,27.0,Yes,35.0
76,14,20.0,Yes,46.0
62,10,17.0,Yes,54.0
75,20,27.0,No,52.0
89,18,26.0,No,33.0
88,15,18.0,Yes,41.0
74,12,19.0,Yes,50.0
84,14,19.0,No,46.0
97,16,24.0,No,38.0
97,14,18.0,Yes,49.0
82,15,23.0,Yes,53.0
84,20,30.0,Yes,43.0
66,18,24.0,No,35.0
81,11,16.0,No,49.0
76,15,23.0,Yes,36.0
77,13,20.0,Yes,58.0
69,15,25.0,Yes,42.0
69,20,29.0,Yes,36.0
66,16,23.0,No,52.0
97,15,20.0,Yes,59.0
86,20,28.0,No,38.0
92,16,26.0,No,36.0
60,10,12.0,No,51.0
93,15,22.0,No,27.0
63,17,25.0,No,47.0
76,16,22.0,No,45.0
63,18,24.0,No,43.0
85,15,19.0,No,37.0
63,15,20.0,Yes,24.0
60,11,16.0,Yes,55.0
66,20,30.0,Yes,51.0
89,14,24.0,Yes,44.0
68,12,19.0,Yes,47.0
94,20,30.0,No,43.0
67,20,30.0,No,55.0
83,14,22.0,No,43.0
78,9,15.0,No,45.0
95,13,19.0,No,46.0
86,20,30.0,Yes,41.0
91,16,24.0,Yes,44.0
73,11,16.0,No,44.0
77,17,29.0,Yes,38.0
87,14,19.0,Yes,35.0
88,13,18.0,Yes,43.0
75,13,22.0,Yes,42.0
94,19,30.0,Yes,56.0
90,17,26.0,No,35.0
63,11,17.0,Yes,39.0
96,16,25.0,Yes,47.0
76,15,23.0,No,49.0
98,14,21.0,No,44.0
85,14,19.0,No,53.0
98,12,20.0,No,44.0
100,13,19.0,No,36.0
63,16,22.0,No,45.0
89,14,21.0,No,52.0
89,17,26.0,No,55.0
81,13,20.0,Yes,54.0
70,17,27.0,No,47.0
61,19,28.0,No,48.0
71,15,22.0,Yes,51.0
89,17,24.0,No,29.0
95,17,26.0,No,38.0
77,13,18.0,No,48.0
85,17,24.0,No,35.0
66,8,14.0,Yes,57.0
60,7,11.0,Yes,56.0
85,14,24.0,No,40.0
82,17,28.0,Yes,36.0
85,15,23.0,Yes,49.0
65,17,26.0,Yes,32.0
65,11,16.0,Yes,46.0
67,18,29.0,Yes,70.0
83,20,30.0,Yes,35.0
81,13,21.0,No,37.0
78,17,24.0,No,39.0
96,15,20.0,Yes,36.0
77,16,25.0,Yes,37.0
90,20,30.0,Yes,62.0
96,16,24.0,No,46.0
89,17,27.0,No,54.0
92,11,15.0,No,57.0
69,17,27.0,No,27.0
96,20,30.0,No,37.0
71,12,20.0,No,36.0
86,17,28.0,No,49.0
98,16,22.0,No,48.0
68,11,18.0,No,58.0
80,15,24.0,Yes,50.0
88,12,16.0,Yes,38.0
92,19,29.0,Yes,39.0
74,15,22.0,No,50.0
98,11,14.0,No,50.0
77,17,28.0,Yes,53.0
62,18,26.0,No,42.0
66,14,23.0,Yes,37.0
77,14,23.0,Yes,57.0
97,11,18.0,No,31.0
96,12,17.0,No,56.0
92,14,23.0,No,54.0
90,12,18.0,Yes,51.0
70,13,20.0,No,63.0
63,15,21.0,Yes,45.0
77,16,23.0,No,51.0
63,18,25.0,Yes,45.0
93,13,21.0,No,42.0
88,15,26.0,No,50.0
83,14,23.0,Yes,42.0
81,14,21.0,Yes,46.0
61,14,20.0,No,46.0
65,14,22.0,Yes,41.0
84,16,23.0,Yes,52.0
80,14,21.0,Yes,27.0
75,19,27.0,Yes,38.0
90,10,16.0,No,35.0
73,18,28.0,Yes,48.0
98,14,23.0,No,43.0
87,14,22.0,No,31.0
91,15,23.0,No,50.0
87,17,23.0,Yes,47.0
68,12,16.0,No,45.0
81,13,20.0,No,53.0
91,17,28.0,No,50.0
64,10,14.0,No,43.0
82,15,23.0,No,49.0
64,13,20.0,Yes,59.0
91,12,14.0,No,43.0
69,10,15.0,Yes,57.0
98,17,24.0,No,64.0
74,15,24.0,No,48.0
66,13,19.0,Yes,35.0
88,15,22.0,Yes,42.0
62,12,18.0,No,47.0
78,13,19.0,No,45.0
69,14,18.0,No,46.0
87,15,24.0,No,57.0
88,16,23.0,No,36.0
74,10,14.0,Yes,49.0
94,16,24.0,No,54.0
65,10,13.0,No,42.0
71,16,23.0,Yes,35.0
97,14,25.0,Yes,43.0
72,18,28.0,No,35.0
88,13,18.0,Yes,38.0
78,17,21.0,Yes,51.0
62,11,19.0,Yes,48.0
67,15,20.0,No,52.0
67,9,12.0,No,50.0
79,18,26.0,No,43.0
63,20,28.0,Yes,35.0
80,13,19.0,No,48.0
62,15,21.0,No,40.0
67,16,25.0,Yes,44.0
82,10,15.0,No,38.0
75,13,22.0,Yes,54.0
72,13,22.0,Yes,23.0
62,20,28.0,Yes,50.0
68,18,26.0,Yes,46.0
73,14,25.0,No,54.0
72,17,23.0,No,33.0
66,16,26.0,No,45.0
74,17,27.0,Yes,41.0
66,12,16.0,No,43.0
97,19,27.0,No,45.0
93,13,23.0,Yes,40.0
100,13,23.0,Yes,44.0
81,17,26.0,No,57.0
83,16,21.0,Yes,59.0
96,15,25.0,No,47.0
60,18,24.0,Yes,60.0
69,12,19.0,Yes,31.0
75,20,27.0,No,53.0
67,13,20.0,Yes,47.0
84,15,24.0,Yes,41.0
71,20,24.0,Yes,51.0
84,13,18.0,No,47.0
76,18,27.0,No,39.0
85,14,20.0,No,52.0
73,12,17.0,Yes,45.0
100,14,21.0,Yes,38.0
95,17,28.0,Yes,53.0
82,18,30.0,Yes,28.0
65,16,25.0,No,61.0
64,10,18.0,No,54.0
84,17,24.0,Yes,26.0
77,15,24.0,No,57.0
72,12,16.0,No,46.0
73,16,30.0,No,24.0
87,18,27.0,Yes,26.0
77,15,24.0,No,51.0
87,18,23.0,No,34.0
86,16,26.0,No,36.0
91,16,24.0,No,46.0
68,14,22.0,No,50.0
99,17,26.0,Yes,47.0
91,18,27.0,No,36.0
79,17,25.0,No,38.0
87,14,21.0,Yes,34.0
92,18,30.0,No,47.0
63,16,23.0,Yes,47.0
93,12,23.0,Yes,49.0
62,14,21.0,Yes,47.0
85,13,22.0,Yes,46.0
67,9,16.0,No,54.0
65,18,24.0,No,46.0
75,20,27.0,Yes,54.0
83,19,27.0,No,41.0
98,15,19.0,Yes,37.0
89,13,19.0,No,57.0
72,12,18.0,No,40.0
64,15,24.0,Yes,44.0
84,18,27.0,No,37.0
79,13,20.0,Yes,65.0
77,20,30.0,No,30.0
77,11,18.0,No,55.0
61,16,28.0,No,26.0
69,15,23.0,Yes,41.0
71,15,18.0,Yes,52.0
72,13,20.0,Yes,62.0
70,15,27.0,No,43.0
78,14,23.0,Yes,40.0
94,19,30.0,Yes,47.0
98,20,30.0,Yes,62.0
85,14,23.0,No,47.0
73,10,18.0,No,50.0
83,16,23.0,No,39.0
100,16,23.0,No,54.0
60,15,23.0,Yes,29.0
81,17,27.0,No,58.0
82,19,23.0,Yes,58.0
78,17,25.0,No,65.0
77,17,22.0,Yes,58.0
71,17,25.0,Yes,40.0
87,16,27.0,No,60.0
87,12,17.0,Yes,56.0
92,19,28.0,Yes,38.0
78,15,24.0,Yes,47.0
96,12,20.0,No,31.0
85,12,18.0,No,53.0
94,11,18.0,Yes,61.0
93,17,27.0,No,53.0
94,14,20.0,Yes,46.0
99,17,22.0,Yes,35.0
75,19,27.0,No,51.0
97,18,30.0,Yes,26.0
72,17,30.0,No,50.0
82,16,24.0,Yes,36.0
81,14,24.0,No,53.0
75,15,22.0,No,53.0
87,17,26.0,Yes,39.0
94,12,17.0,No,54.0
67,15,25.0,Yes,27.0
81,13,18.0,No,44.0
80,19,27.0,Yes,53.0
85,17,26.0,No,51.0
99,20,30.0,No,39.0
80,13,20.0,No,54.0
84,13,19.0,Yes,54.0
100,15,21.0,No,33.0
60,13,16.0,Yes,44.0
65,17,25.0,No,47.0
82,15,22.0,No,47.0
82,14,22.0,Yes,53.0
82,18,25.0,No,41.0
91,9,15.0,Yes,61.0
89,17,24.0,Yes,41.0
72,13,18.0,Yes,34.0
77,17,28.0,Yes,43.0
82,18,22.0,Yes,48.0
74,8,10.0,No,33.0
92,14,21.0,Yes,42.0
80,15,22.0,No,33.0
82,16,23.0,Yes,43.0
86,13,21.0,No,21.0
77,11,14.0,No,55.0
83,13,22.0,Yes,33.0
99,13,18.0,Yes,70.0
66,13,16.0,No,38.0
79,16,26.0,No,39.0
86,18,28.0,Yes,47.0
65,15,20.0,Yes,21.0
86,18,26.0,Yes,49.0
68,12,21.0,No,52.0
90,15,24.0,Yes,54.0
80,20,30.0,No,48.0
85,10,13.0,No,46.0
99,10,17.0,Yes,30.0
72,19,26.0,Yes,50.0
82,16,21.0,No,45.0
79,13,21.0,Yes,41.0
96,12,15.0,Yes,35.0
87,15,26.0,No,50.0
76,15,20.0,Yes,42.0
87,15,21.0,No,26.0
100,12,20.0,No,43.0
61,14,20.0,Yes,37.0
84,13,21.0,No,54.0
100,17,23.0,No,43.0
65,12,17.0,Yes,42.0
70,15,24.0,No,48.0
97,20,28.0,Yes,62.0
65,12,20.0,No,49.0
70,13,19.0,No,37.0
73,15,23.0,No,29.0
99,11,15.0,No,20.0
62,16,22.0,No,45.0
94,14,20.0,No,68.0
92,18,30.0,Yes,27.0
83,14,23.0,No,34.0
78,14,22.0,Yes,47.0
77,13,18.0,No,37.0
83,14,19.0,No,44.0
94,11,15.0,Yes,49.0
60,15,22.0,Yes,51.0
95,12,19.0,Yes,56.0
84,11,18.0,No,29.0
93,13,20.0,Yes,58.0
84,16,25.0,No,58.0
75,15,24.0,No,53.0
93,17,25.0,Yes,34.0
88,12,20.0,No,33.0
78,15,21.0,Yes,48.0
82,20,30.0,Yes,51.0
78,19,29.0,Yes,57.0
84,11,17.0,Yes,40.0
75,12,17.0,No,51.0
68,20,30.0,No,51.0
60,16,23.0,Yes,38.0
78,14,24.0,Yes,41.0
92,14,24.0,No,29.0
93,16,25.0,No,34.0
75,16,23.0,Yes,39.0
99,13,18.0,No,50.0
77,15,19.0,No,68.0
93,13,21.0,No,50.0
84,16,22.0,No,33.0
65,13,18.0,Yes,40.0
80,11,18.0,No,56.0
65,19,28.0,Yes,37.0
91,15,23.0,Yes,60.0
100,20,30.0,Yes,52.0
98,9,17.0,No,42.0
90,11,17.0,No,26.0
69,16,23.0,Yes,55.0
89,15,22.0,No,51.0
77,12,17.0,Yes,50.0
83,18,30.0,Yes,70.0
68,12,19.0,No,36.0
90,19,30.0,No,60.0
74,15,25.0,No,43.0
63,12,16.0,Yes,48.0
99,13,17.0,Yes,48.0
68,19,28.0,No,53.0
68,14,18.0,Yes,38.0
85,18,26.0,Yes,69.0
63,19,24.0,Yes,34.0
76,15,20.0,No,41.0
75,14,23.0,No,63.0
74,14,22.0,No,57.0
94,16,28.0,Yes,41.0
64,20,30.0,No,52.0
64,11,16.0,Yes,34.0
79,16,24.0,Yes,37.0
74,16,30.0,Yes,41.0
77,10,17.0,No,59.0
61,12,16.0,Yes,24.0
88,13,20.0,No,54.0
72,17,26.0,Yes,41.0
63,18,28.0,No,51.0
69,9,17.0,No,51.0
90,17,27.0,No,45.0
100,17,25.0,No,37.0
67,17,29.0,No,38.0
62,15,20.0,No,42.0
68,18,26.0,No,29.0
89,19,30.0,No,46.0
70,10,13.0,Yes,38.0
94,15,22.0,Yes,40.0
96,14,20.0,Yes,43.0
72,13,19.0,Yes,53.0
95,14,20.0,Yes,57.0
72,16,24.0,No,59.0
71,11,16.0,No,49.0
96,17,28.0,No,41.0
69,14,22.0,No,32.0
68,18,28.0,No,69.0
66,13,20.0,Yes,63.0
61,13,19.0,Yes,54.0
82,12,19.0,No,52.0
98,13,20.0,Yes,41.0
99,13,15.0,Yes,46.0
98,16,24.0,No,54.0
80,18,28.0,No,26.0
82,16,23.0,Yes,39.0
88,15,24.0,Yes,45.0
73,16,25.0,No,26.0
85,15,22.0,Yes,30.0
64,15,24.0,No,38.0
90,14,20.0,Yes,46.0
84,18,28.0,Yes,60.0
90,7,10.0,No,41.0
79,9,15.0,Yes,64.0
76,18,30.0,No,38.0
61,14,20.0,Yes,44.0
84,18,29.0,Yes,30.0
72,13,19.0,No,41.0
98,20,29.0,Yes,26.0
87,15,22.0,No,70.0
65,16,21.0,No,35.0
62,14,22.0,Yes,49.0
94,12,19.0,No,40.0
77,10,15.0,No,43.0
70,17,29.0,No,44.0
79,16,27.0,Yes,54.0
64,15,25.0,No,50.0
78,12,18.0,No,47.0
81,19,28.0,Yes,51.0
78,15,20.0,No,49.0
75,17,26.0,No,32.0
83,15,23.0,No,43.0
100,12,19.0,Yes,52.0
63,18,25.0,Yes,39.0
74,16,23.0,Yes,49.0
84,14,18.0,Yes,56.0
94,16,23.0,Yes,38.0
73,17,27.0,Yes,55.0
78,17,23.0,No,44.0
97,10,18.0,Yes,46.0
95,11,19.0,Yes,53.0
66,17,27.0,Yes,51.0
78,12,18.0,No,27.0
84,16,23.0,No,50.0
75,12,18.0,Yes,44.0
99,14,18.0,No,29.0
67,18,29.0,Yes,38.0
77,10,14.0,No,28.0
87,11,15.0,Yes,44.0
75,10,14.0,Yes,58.0
78,12,18.0,Yes,38.0
76,15,23.0,Yes,47.0
72,13,19.0,No,44.0
66,20,30.0,Yes,61.0
86,16,25.0,No,58.0
69,15,20.0,No,29.0
93,19,29.0,No,43.0
95,11,16.0,Yes,36.0
84,18,23.0,No,39.0
65,14,19.0,No,53.0
